TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
6934,v6934_Veh1,10SENS000000AC1P,"v06934_001aa0.uds; Sensor: type=OT, Attach=OTHR, Prefilter Frequency=2000; min@0.1682s, max@0.16845s",,XG,gn,OTHR
6940,v6940_Veh1,10FORALERE00AC1P,"v06940_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0499s, max@0.0738s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6940,v6940_Veh1,10FORARIRE00AC1P,"v06940_090aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0151s, max@0.0156s",RIGHT REAR SEAT CROSSMEMBER X,XG,gn,FLRR
6940,v6940_Veh1,10ENGN000000AC1P,"v06940_091af0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0333s, max@0.0393s",TOP OF ENGINE X:NO VALID DATA COLLECTED AFTER 40MS,XG,gn,ENGN
6940,v6940_Veh1,10ENGN000100AC1P,"v06940_092aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0313s, max@0.0399s",BOTTOM OF ENGINE X,XG,gn,ENGN
6940,v6940_Veh1,10WHELLE0000AC1P,"v06940_093aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=1650; min@0.0398s, max@0.0513s",LEFT BRAKE CALIPER X,XG,gn,BRCL
6940,v6940_Veh1,10WHELRI0000AC1P,"v06940_094aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=1650; min@0.0327s, max@0.031s",RIGHT BRAKE CALIPER X,XG,gn,BRCR
6940,v6940_Veh1,10FORALERE00AC3P,"v06940_095aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0565s, max@0.0544s",LEFT REAR SEAT CROSSMEMBER Z,ZG,gn,FLLR
6940,v6940_Veh1,10FORARIRE00AC3P,"v06940_096aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0156s, max@0.0274s",RIGHT REAR SEAT CROSSMEMBER Z,ZG,gn,FLRR
6945,v6945_Veh1,10VEHCCG0000AC1P,"v06945_001aq0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.09792s, max@0.0928s",QUESTIONABLE DATA THROUGHOUT THE EVENT,XG,gn,VECG
6945,v6945_Veh1,10VEHCCG0000AC2P,"v06945_002aq0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.0812s, max@0.0928s",QUESTIONABLE DATA THROUGHOUT THE EVENT,YG,gn,VECG
6945,v6945_Veh1,10VEHCCG0000AC3P,"v06945_003aq0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05288s, max@0.09272s",QUESTIONABLE DATA THROUGHOUT THE EVENT,ZG,gn,VECG
6945,v6945_Veh1,10FLORRE0000AC1P,"v06945_004aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.02744s, max@0.1168s",,XG,gn,REDK
6945,v6945_Veh1,10FLORRE0000AC2P,"v06945_005aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.03048s, max@0.05648s",,YG,gn,REDK
6945,v6945_Veh1,10FLORRE0000AC3P,"v06945_006aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.0856s, max@0.07552s",,ZG,gn,REDK
6946,v6946_Veh1,10VEHCCG0000AC1P,"v06946_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05056s, max@0.04816s",,XG,gn,VECG
6946,v6946_Veh1,10VEHCCG0000AC2P,"v06946_002aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05608s, max@0.04864s",,YG,gn,VECG
6946,v6946_Veh1,10VEHCCG0000AC3P,"v06946_003aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.04736s, max@0.04656s",,ZG,gn,VECG
6946,v6946_Veh1,10FLORRE0000AC1P,"v06946_004aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.03952s, max@0.05976s",,XG,gn,REDK
6946,v6946_Veh1,10FLORRE0000AC2P,"v06946_005aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.0596s, max@0.05304s",,YG,gn,REDK
6946,v6946_Veh1,10FLORRE0000AC3P,"v06946_006aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.03744s, max@0.06088s",,ZG,gn,REDK
6947,v6947_Veh1,10VEHCCG0000AC1P,"v06947_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05304s, max@0.04552s",,XG,gn,VECG
6947,v6947_Veh1,10VEHCCG0000AC2P,"v06947_002aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02736s, max@0.026s",,YG,gn,VECG
6947,v6947_Veh1,10VEHCCG0000AC3P,"v06947_003aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02056s, max@0.02736s",,ZG,gn,VECG
6947,v6947_Veh1,10FLORRE0000AC1P,"v06947_004aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.01424s, max@0.01832s",,XG,gn,REDK
6947,v6947_Veh1,10FLORRE0000AC2P,"v06947_005aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.03144s, max@0.03176s",,YG,gn,REDK
6947,v6947_Veh1,10FLORRE0000AC3P,"v06947_006aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.01424s, max@0.01712s",,ZG,gn,REDK
6948,v6948_Veh1,10VEHCCG0000AC1P,"v06948_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02304s, max@0.02832s",,XG,gn,VECG
6948,v6948_Veh1,10VEHCCG0000AC2P,"v06948_002aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02256s, max@0.0236s",,YG,gn,VECG
6948,v6948_Veh1,10VEHCCG0000AC3P,"v06948_003aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.0304s, max@0.02144s",,ZG,gn,VECG
6948,v6948_Veh1,10FLORRE0000AC1P,"v06948_004aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.026s, max@0.03024s",,XG,gn,REDK
6948,v6948_Veh1,10FLORRE0000AC2P,"v06948_005aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.03856s, max@0.04152s",,YG,gn,REDK
6948,v6948_Veh1,10FLORRE0000AC3P,"v06948_006aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.0248s, max@0.0264s",,ZG,gn,REDK
6951,v6951_Veh1,10SEATLERE00AC1P,"v06951_085aq0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0245s, max@0.1426s",V1 LEFT REAR SEAT CROSSMEMBER AX -> QUESTIONABLE DATA 45.5 - 143.4 M,XG,gn,SELR
6951,v6951_Veh1,10SEATRIRE00AC1P,"v06951_086am0.uds; Sensor: type=AC, Attach=SERR, Prefilter Frequency=4000; min@-42949.7s, max@-42949.7s",V1 RIGHT REAR SEAT CROSSMEMBER AX ->  SENSOR CABLE CUT AFTER 77.6 MS,XG,gn,SERR
6951,v6951_Veh1,10ENGN000000AC1P,"v06951_087aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=4000; min@0.0316s, max@0.0321s",V1 ENGINE TOP AX,XG,gn,ENGN
6951,v6951_Veh1,10ENGN000100AC1P,"v06951_088af0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=4000; min@-0.05s, max@0.032s",V1 ENGINE BOTTOM AX -> SENSOR FAILURE,XG,gn,ENGN
6951,v6951_Veh1,10WHELRI0000AC1P,"v06951_089aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=4000; min@0.03045s, max@0.03005s",V1 RIGHT BRAKE CALIPER AX,XG,gn,BRCR
6951,v6951_Veh1,10WHELLE0000AC1P,"v06951_090aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=4000; min@0.04425s, max@0.0399s",V1 LEFT BRAKE CALIPER AX,XG,gn,BRCL
6951,v6951_Veh1,10SEATLERE00AC3P,"v06951_091aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.04465s, max@0.04405s",V1 LEFT REAR SEAT CROSSMEMBER AZ,ZG,gn,SELR
6951,v6951_Veh1,10SEATRIRE00AC3P,"v06951_092am0.uds; Sensor: type=AC, Attach=SERR, Prefilter Frequency=4000; min@-42949.7s, max@-42949.7s",V1 RIGHT REAR SEAT CROSSMEMBER AZ ->  QUESTIONABLE DATA AFTER 70.6 MS,ZG,gn,SERR
6951,v6951_Veh1,10TIRS000000TI00,"v06951_129ta0.uds; Sensor: type=TB, Attach=OTHR, Prefilter Frequency=0; min@-0.05s, max@0.29995s",TIME CHANNEL,NA,s,OTHR
6953,v6953_Veh1,10DOORLERE00AC1P,"v06953_089aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0386s, max@0.0223s",,XG,gn,DSLR
6953,v6953_Veh1,10DOORRIRE00AC1P,"v06953_090aa0.uds; Sensor: type=AC, Attach=DSRR, Prefilter Frequency=2900; min@0.0464s, max@0.0205s",,XG,gn,DSRR
6953,v6953_Veh1,10ENGN000000AC1P,"v06953_091aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=2900; min@-85899.4s, max@-85899.4s","ENGINE TOP, CHANNEL FAILED AT 55.4 BECAUSE OF A CUT SIGNAL WIRE",XG,gn,ENGN
6953,v6953_Veh1,10ENGN000100AC1P,"v06953_092aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=2900; min@0.0308s, max@0.0324s",ENGINE BOTTOM,XG,gn,ENGN
6953,v6953_Veh1,10WHELLE0000AC1P,"v06953_093aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=2900; min@0.0455s, max@0.0391s",LEFT BRAKE CALIPER,XG,gn,BRCL
6953,v6953_Veh1,10WHELRI0000AC1P,"v06953_094aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=2900; min@0.0456s, max@0.0416s",RIGHT BRAKE CALIPER,XG,gn,BRCR
6953,v6953_Veh1,10DOORLERE00AC3P,"v06953_095aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0348s, max@0.0209s",,ZG,gn,DSLR
6953,v6953_Veh1,10DOORRIRE00AC3P,"v06953_096aa0.uds; Sensor: type=AC, Attach=DSRR, Prefilter Frequency=2900; min@0.0149s, max@0.0466s",,ZG,gn,DSRR
6964,v6964_Veh1,10SEATLERE00AC1P,"v06964_084aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05015s, max@0.05s",V1 LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
6964,v6964_Veh1,10SEATRIRE00AC1P,"v06964_085aa0.uds; Sensor: type=AC, Attach=SERR, Prefilter Frequency=4000; min@0.05535s, max@0.05625s",V1 RIGHT REAR SEAT CROSSMEMBER AX,XG,gn,SERR
6964,v6964_Veh1,10ENGN000000AC1P,"v06964_086aq0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=4000; min@0.04725s, max@0.0453s",V1 ENGINE TOP AX -> QUESTIONABLE DATA AFTER 38.7 MS,XG,gn,ENGN
6964,v6964_Veh1,10ENGN000100AC1P,"v06964_087aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=4000; min@0.0367s, max@0.05035s",V1 ENGINE BOTTOM AX,XG,gn,ENGN
6964,v6964_Veh1,10WHELRI0000AC1P,"v06964_088aq0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=4000; min@0.05265s, max@0.0386s",V1 RIGHT BRAKE CALIPER AX -> QUESTIONABLE DATA AFTER 37.4 MSEC,XG,gn,BRCR
6964,v6964_Veh1,10WHELLE0000AC1P,"v06964_089aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=4000; min@0.03015s, max@0.02625s",V1 LEFT BRAKE CALIPER AX,XG,gn,BRCL
6964,v6964_Veh1,10SEATLERE00AC3P,"v06964_090aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05s, max@0.0519s",V1 LEFT REAR SEAT CROSSMEMBER AZ,ZG,gn,SELR
6964,v6964_Veh1,10SEATRIRE00AC3P,"v06964_091aa0.uds; Sensor: type=AC, Attach=SERR, Prefilter Frequency=4000; min@0.064s, max@0.0627s",V1 RIGHT REAR SEAT CROSSMEMBER AZ,ZG,gn,SERR
6964,v6964_Veh1,10TIRS000000TI00,"v06964_128ta0.uds; Sensor: type=TB, Attach=OTHR, Prefilter Frequency=0; min@-0.05s, max@0.29995s",TIME CHANNEL,NA,s,OTHR
6976,v6976_Veh1,10FORALERE00AC1P,"v06976_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0419s, max@0.0286s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6976,v6976_Veh1,10FORARIRE00AC1P,"v06976_089aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0424s, max@0.0482s",RIGHT REAR SEAT CROSSMEMBER X,XG,gn,FLRR
6976,v6976_Veh1,10ENGN000000AC1P,"v06976_090aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.031s, max@0.0502s",TOP OF ENGINE X,XG,gn,ENGN
6976,v6976_Veh1,10ENGN000100AC1P,"v06976_091aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0356s, max@0.0408s",BOTTOM OF ENGINE X,XG,gn,ENGN
6976,v6976_Veh1,10WHELLE0000AC1P,"v06976_092aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=1650; min@0.0425s, max@0.0429s",LEFT BRAKE CALIPER X,XG,gn,BRCL
6976,v6976_Veh1,10WHELRI0000AC1P,"v06976_093aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=1650; min@0.052s, max@0.0529s",RIGHT BRAKE CALIPER X,XG,gn,BRCR
6976,v6976_Veh1,10FORALERE00AC3P,"v06976_094aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0433s, max@0.0346s",LEFT REAR SEAT CROSSMEMBER Z,ZG,gn,FLLR
6976,v6976_Veh1,10FORARIRE00AC3P,"v06976_095aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0485s, max@0.0463s",RIGHT REAR SEAT CROSSMEMBER Z,ZG,gn,FLRR
6978,v6978_Veh1,10FORALERE00AC1P,"v06978_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0362s, max@0.0355s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6978,v6978_Veh1,10FORARIRE00AC1P,"v06978_089aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0817s, max@0.0824s",RIGHT REAR SEAT CROSSMEMBER X,XG,gn,FLRR
6978,v6978_Veh1,10ENGN000000AC1P,"v06978_090aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0281s, max@0.0457s",TOP OF ENGINE X,XG,gn,ENGN
6978,v6978_Veh1,10ENGN000100AC1P,"v06978_091aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0286s, max@0.0313s",BOTTOM OF ENGINE X,XG,gn,ENGN
6978,v6978_Veh1,10WHELLE0000AC1P,"v06978_092aa0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=1650; min@0.037s, max@0.0352s",LEFT BRAKE CALIPER X,XG,gn,BRCL
6978,v6978_Veh1,10WHELRI0000AC1P,"v06978_093aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=1650; min@0.0405s, max@0.0777s",RIGHT BRAKE CALIPER X,XG,gn,BRCR
6978,v6978_Veh1,10FORALERE00AC3P,"v06978_094aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.041s, max@0.0394s",LEFT REAR SEAT CROSSMEMBER Z,ZG,gn,FLLR
6978,v6978_Veh1,10FORARIRE00AC3P,"v06978_095aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0795s, max@0.0802s",RIGHT REAR SEAT CROSSMEMBER Z,ZG,gn,FLRR
6982,v6982_Veh1,10VEHCCG0000AC1P,"v06982_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.04008s, max@0.03896s",,XG,gn,VECG
6982,v6982_Veh1,10VEHCCG0000AC2P,"v06982_002aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.03936s, max@0.03976s",,YG,gn,VECG
6982,v6982_Veh1,10VEHCCG0000AC3P,"v06982_003aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.0476s, max@0.04808s",,ZG,gn,VECG
6982,v6982_Veh1,10FLORRE0000AC1P,"v06982_004aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.01264s, max@0.07168s",,XG,gn,REDK
6982,v6982_Veh1,10FLORRE0000AC2P,"v06982_005aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.01208s, max@0.0528s",,YG,gn,REDK
6982,v6982_Veh1,10FLORRE0000AC3P,"v06982_006aa0.uds; Sensor: type=AC, Attach=REDK, Prefilter Frequency=1650; min@0.01264s, max@0.01536s",,ZG,gn,REDK
6983,v6983_Veh1,10VEHCCG0000AC1P,"v06983_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.03904s, max@0.01504s",,XG,gn,VECG
6983,v6983_Veh1,10VEHCCG0000AC2P,"v06983_002aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.03904s, max@0.02416s",,YG,gn,VECG
6983,v6983_Veh1,10VEHCCG0000AC3P,"v06983_003aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05176s, max@0.0392s",,ZG,gn,VECG
