test_no,crash_type,angle,speed_kph,category
6931,IMPACTOR INTO VEHICLE,270.0,52.8,Side
6933,IMPACTOR INTO VEHICLE,270.0,62.0,Side
6934,VEHICLE INTO BARRIER,0.0,55.84,Frontal
6937,IMPACTOR INTO VEHICLE,15.0,115.2,Rear
6938,IMPACTOR INTO VEHICLE,270.0,52.9,Side
6939,IMPACTOR INTO VEHICLE,270.0,53.0,Side
6940,VEHICLE INTO BARRIER,0.0,56.3,Frontal
6941,IMPACTOR INTO VEHICLE,270.0,62.4,Side
6942,VEHICLE INTO POLE,270.0,32.5,Side
6943,IMPACTOR INTO VEHICLE,270.0,52.8,Side
6944,IMPACTOR INTO VEHICLE,270.0,61.8,Side
6945,VEHICLE INTO BARRIER,0.0,56.4,Frontal
6946,VEHICLE INTO BARRIER,0.0,56.1,Frontal
6947,VEHICLE INTO BARRIER,0.0,56.7,Frontal
6948,VEHICLE INTO BARRIER,0.0,57.0,Frontal
6949,VEHICLE INTO POLE,270.0,31.85,Side
6950,VEHICLE INTO POLE,270.0,31.4,Side
6951,VEHICLE INTO BARRIER,0.0,56.6,Frontal
6952,IMPACTOR INTO VEHICLE,270.0,62.16,Side
6953,VEHICLE INTO BARRIER,0.0,56.0,Frontal
6954,ROLLOVER,90.0,48.4,Rollover
6955,ROLLOVER,90.0,48.0,Rollover
6956,ROLLOVER,90.0,47.8,Rollover
6957,ROLLOVER,90.0,48.1,Rollover
6958,ROLLOVER,90.0,33.2,Rollover
6959,ROLLOVER,90.0,49.1,Rollover
6960,ROLLOVER,0.0,48.8,Rollover
6961,ROLLOVER,0.0,48.2,Rollover
6962,ROLLOVER,0.0,48.4,Rollover
6963,ROLLOVER,90.0,33.1,Rollover
6964,VEHICLE INTO BARRIER,0.0,56.5,Frontal
6965,IMPACTOR INTO VEHICLE,270.0,61.6,Side
6966,IMPACTOR INTO VEHICLE,270.0,62.0,Side
6967,VEHICLE INTO POLE,270.0,32.0,Side
6968,VEHICLE INTO BARRIER,0.0,47.8,Frontal
6969,LOW RISK DEPLOYMENT,0.0,0.0,Other
6970,LOW RISK DEPLOYMENT,0.0,0.0,Other
6971,LOW RISK DEPLOYMENT,0.0,0.0,Other
6972,LOW RISK DEPLOYMENT,0.0,0.0,Other
6973,LOW RISK DEPLOYMENT,0.0,0.0,Other
6974,LOW RISK DEPLOYMENT,0.0,0.0,Other
6975,IMPACTOR INTO VEHICLE,270.0,62.0,Side
6976,VEHICLE INTO BARRIER,0.0,56.3,Frontal
6977,IMPACTOR INTO VEHICLE,270.0,61.8,Side
6978,VEHICLE INTO BARRIER,0.0,56.5,Frontal
6979,VEHICLE INTO POLE,270.0,32.5,Side
6980,IMPACTOR INTO VEHICLE,270.0,61.97,Side
6981,VEHICLE INTO POLE,270.0,31.87,Side
6982,VEHICLE INTO BARRIER,0.0,56.6,Frontal
6983,VEHICLE INTO BARRIER,0.0,56.5,Frontal
6984,VEHICLE INTO POLE,270.0,32.3,Side
6985,VEHICLE INTO POLE,270.0,32.5,Side
6986,VEHICLE INTO POLE,270.0,31.79,Side
6987,IMPACTOR INTO VEHICLE,270.0,61.97,Side
6988,IMPACTOR INTO VEHICLE,270.0,61.8,Side
6989,IMPACTOR INTO VEHICLE,270.0,61.9,Side
6990,VEHICLE INTO POLE,270.0,32.4,Side
6991,VEHICLE INTO BARRIER,0.0,56.14,Frontal
6992,VEHICLE INTO BARRIER,0.0,56.2,Frontal
6993,IMPACTOR INTO VEHICLE,270.0,61.61,Side
6994,VEHICLE INTO BARRIER,0.0,56.28,Frontal
6995,VEHICLE INTO POLE,270.0,32.57,Side
6996,VEHICLE INTO BARRIER,0.0,56.5,Frontal
6997,VEHICLE INTO POLE,270.0,32.3,Side
6998,VEHICLE INTO BARRIER,0.0,56.5,Frontal
6999,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7000,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7001,VEHICLE INTO POLE,270.0,32.68,Side
7002,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7003,IMPACTOR INTO VEHICLE,270.0,62.14,Side
7004,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7005,LOW RISK DEPLOYMENT,0.0,0.0,Other
7006,LOW RISK DEPLOYMENT,0.0,0.0,Other
7007,LOW RISK DEPLOYMENT,0.0,0.0,Other
7008,LOW RISK DEPLOYMENT,0.0,0.0,Other
7009,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7010,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7011,LOW RISK DEPLOYMENT,0.0,0.0,Other
7012,LOW RISK DEPLOYMENT,0.0,0.0,Other
7013,LOW RISK DEPLOYMENT,0.0,0.0,Other
7014,LOW RISK DEPLOYMENT,0.0,0.0,Other
7015,LOW RISK DEPLOYMENT,0.0,0.0,Other
7016,LOW RISK DEPLOYMENT,0.0,0.0,Other
7017,LOW RISK DEPLOYMENT,0.0,0.0,Other
7018,LOW RISK DEPLOYMENT,0.0,0.0,Other
7019,LOW RISK DEPLOYMENT,0.0,0.0,Other
7020,LOW RISK DEPLOYMENT,0.0,0.0,Other
7021,VEHICLE INTO BARRIER,30.0,39.9,Frontal
7022,VEHICLE INTO BARRIER,0.0,39.9,Frontal
7023,VEHICLE INTO BARRIER,0.0,39.6,Frontal
7024,VEHICLE INTO BARRIER,0.0,55.92,Frontal
7025,VEHICLE INTO POLE,270.0,32.5,Side
7026,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7027,VEHICLE INTO BARRIER,0.0,56.57,Frontal
7028,IMPACTOR INTO VEHICLE,270.0,61.99,Side
7029,IMPACTOR INTO VEHICLE,270.0,61.6,Side
7030,LOW RISK DEPLOYMENT,0.0,0.0,Other
7031,LOW RISK DEPLOYMENT,0.0,0.0,Other
7032,VEHICLE INTO BARRIER,0.0,56.2,Frontal
