test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
10000,10DOORLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.001,1175.2,35.23,Outlier
10001,10FORALERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,128.0,,1.017,755.3,37.34,Valid
10002,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.008,772.5,33.64,Valid
10007,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.007,684.4,58.4,Valid
10027,10DOORLERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.002,1098.6,40.83,Outlier
10028,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Valid,350.0,,1.003,625.0,52.12,Valid
10029,10SEATLEFR01AC1P,,SEAT_Single,,Missing,0.0,,1.006,672.7,25.51,Valid
10031,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.003,658.2,59.8,Valid
10034,10DOORLERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.004,739.1,34.51,Valid
10039,10DOORLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.063,411.2,66.82,Valid
10049,10DOORLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.002,1178.7,29.57,Outlier
10050,10DOORLERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.007,569.1,39.6,Valid
10058,10SEATRIRERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.006,634.9,41.18,Valid
10060,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.024,672.9,42.17,Valid
10068,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.006,667.6,38.15,Valid
10075,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.001,670.1,40.77,Valid
10076,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.002,635.1,34.72,Valid
10088,10DOORLERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,,1.002,706.6,34.29,Valid
10091,10FORALERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.006,1053.6,37.19,Valid
10131,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.009,713.0,34.25,Valid
10137,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Short (95.0ms),95.0,,1.005,615.2,42.52,Valid
10146,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.005,730.2,44.08,Valid
10149,10SEATLERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,360.1,,1.006,669.3,36.22,Valid
10150,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.002,641.6,38.5,Valid
10151,10FORARIRERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.002,734.9,44.75,Valid
10156,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,,1.004,689.6,35.88,Valid
10159,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,,1.002,549.1,61.27,Valid
