TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
6940,v6940_Veh1,10FORALERE00AC1P,"v06940_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0499s, max@0.0738s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6945,v6945_Veh1,10VEHCCG0000AC1P,"v06945_001aq0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.09792s, max@0.0928s",QUESTIONABLE DATA THROUGHOUT THE EVENT,XG,gn,VECG
6946,v6946_Veh1,10VEHCCG0000AC1P,"v06946_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05056s, max@0.04816s",,XG,gn,VECG
6947,v6947_Veh1,10VEHCCG0000AC1P,"v06947_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05304s, max@0.04552s",,XG,gn,VECG
6948,v6948_Veh1,10VEHCCG0000AC1P,"v06948_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02304s, max@0.02832s",,XG,gn,VECG
6951,v6951_Veh1,10SEATLERE00AC1P,"v06951_085aq0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0245s, max@0.1426s",V1 LEFT REAR SEAT CROSSMEMBER AX -> QUESTIONABLE DATA 45.5 - 143.4 M,XG,gn,SELR
6964,v6964_Veh1,10SEATLERE00AC1P,"v06964_084aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05015s, max@0.05s",V1 LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
6976,v6976_Veh1,10FORALERE00AC1P,"v06976_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0419s, max@0.0286s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6978,v6978_Veh1,10FORALERE00AC1P,"v06978_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0362s, max@0.0355s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6982,v6982_Veh1,10VEHCCG0000AC1P,"v06982_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.04008s, max@0.03896s",,XG,gn,VECG
6983,v6983_Veh1,10VEHCCG0000AC1P,"v06983_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.03904s, max@0.01504s",,XG,gn,VECG
6992,v6992_Veh1,10FORALERE00AC1P,"v06992_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0439s, max@0.0428s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6996,v6996_Veh1,10FORALERE00AC1P,"v06996_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0378s, max@0.0408s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
6998,v6998_Veh1,10SEATLERE00AC1P,"v06998_084aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02935s, max@0.0136s",V1 LEFT REAR SEAT CROSSMEMBER X,XG,gn,SELR
6999,v6999_Veh1,10FORALERE00AC1P,"v06999_089af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0699s, max@0.017s",LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED AFTER 70MS,XG,gn,FLLR
7002,v7002_Veh1,10FORALERE00AC1P,"v07002_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0182s, max@0.0212s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7026,v7026_Veh1,10FORALERE00AC1P,"v07026_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0229s, max@0.024s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7032,v7032_Veh1,10FORALERE00AC1P,"v07032_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0209s, max@0.0235s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7038,v7038_Veh1,10FORALERE00AC1P,"v07038_089af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@-0.0014s, max@-0.0095s",LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED,XG,gn,FLLR
7056,v7056_Veh1,10FORALERE00AC1P,"v07056_031aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0498s, max@0.0503s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7066,v7066_Veh1,10FORALERE00AC1P,"v07066_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0557s, max@0.0564s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7068,v7068_Veh1,10FORALERE00AC1P,"v07068_031aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0471s, max@0.0457s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7074,v7074_Veh1,10SEATLERE00AC1P,"v07074_088aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03215s, max@0.0305s",V1 LEFT REAR #1X,XG,gn,SELR
7078,v7078_Veh1,10FORALERE00AC1P,"v07078_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0451s, max@0.0444s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7099,v7099_Veh1,10SEATLERE00AC1P,"v07099_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0265s, max@0.01715s",V1 LEFT REAR #1X,XG,gn,SELR
7112,v7112_Veh1,10FORALERE00AC1P,"v07112_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0436s, max@0.0147s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
7115,v7115_Veh1,10SEATLERE00AC1P,"v07115_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01535s, max@0.1676s",V1 LEFT REAR #1X,XG,gn,SELR
