TestNo,ChannelName,Rank,Inst_InsCom,Description,Unit
,,,,,
6940,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v06940_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0499s, max@0.0738s",gn
6945,10VEHCCG0000AC1P,4,QUESTIONABLE DATA THROUGHOUT THE EVENT,"v06945_001aq0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.09792s, max@0.0928s",gn
6946,10VEHCCG0000AC1P,4,,"v06946_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05056s, max@0.04816s",gn
6947,10VEHCCG0000AC1P,4,,"v06947_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.05304s, max@0.04552s",gn
6948,10VEHCCG0000AC1P,4,,"v06948_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.02304s, max@0.02832s",gn
6951,10SEATLERE00AC1P,2,V1 LEFT REAR SEAT CROSSMEMBER AX -> QUESTIONABLE DATA 45.5 - 143.4 M,"v06951_085aq0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0245s, max@0.1426s",gn
,,,,,
6964,10SEATLERE00AC1P,2,V1 LEFT REAR SEAT CROSSMEMBER AX,"v06964_084aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05015s, max@0.05s",gn
6976,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v06976_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0419s, max@0.0286s",gn
6978,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v06978_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0362s, max@0.0355s",gn
6982,10VEHCCG0000AC1P,4,,"v06982_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.04008s, max@0.03896s",gn
6983,10VEHCCG0000AC1P,4,,"v06983_001aa0.uds; Sensor: type=AC, Attach=VECG, Prefilter Frequency=1650; min@0.03904s, max@0.01504s",gn
,,,,,
6992,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v06992_088aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0439s, max@0.0428s",gn
,,,,,
6996,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v06996_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0378s, max@0.0408s",gn
6998,10SEATLERE00AC1P,2,V1 LEFT REAR SEAT CROSSMEMBER X,"v06998_084aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02935s, max@0.0136s",gn
6999,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED AFTER 70MS,"v06999_089af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0699s, max@0.017s",gn
7002,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07002_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0182s, max@0.0212s",gn
,,,,,
